state,district,total_cultivated_area_ha,dominant_crop,dominant_crop_area_ha,top_crops_summary
Andhra Pradesh,Visakhapatanam,207449.5,Rice,53164.5,Rice: 53164.5ha; Sugarcane: 31592.0ha; Cashewnut: 30521.0ha; Black pepper: 17215.0ha; Other Rabi pulses: 9578.2ha
Andhra Pradesh,Vizianagaram,177013.0,Rice,63175.8,Rice: 63175.8ha; Maize: 18218.5ha; Cashewnut: 13681.8ha; Sugarcane: 11604.0ha; Oilseeds total: 11304.2ha
Andhra Pradesh,West Godavari,411528.2,Rice,197960.5,Rice: 197960.5ha; other oilseeds: 55204.7ha; Oilseeds total: 34433.4ha; Maize: 26819.9ha; Coconut: 22766.8ha
Arunachal Pradesh,Anjaw,8225.1,Rice,3706.5,Rice: 3706.5ha; Small millets: 2401.8ha; Maize: 1434.2ha; Rapeseed &Mustard: 177.8ha; Potato: 79.0ha
Arunachal Pradesh,Changlang,20322.5,Rice,9426.5,Rice: 9426.5ha; Rapeseed &Mustard: 4236.0ha; Small millets: 1831.8ha; Maize: 1089.2ha; Dry chillies: 766.5ha
Arunachal Pradesh,Dibang Valley,5646.0,Maize,1972.2,Maize: 1972.2ha; Rice: 1810.5ha; Small millets: 825.0ha; Potato: 168.0ha; Ginger: 159.2ha
Arunachal Pradesh,East Kameng,14477.9,Rice,8413.5,Rice: 8413.5ha; Maize: 2630.0ha; Small millets: 787.8ha; Rapeseed &Mustard: 710.2ha; Other Rabi pulses: 331.2ha
Arunachal Pradesh,East Siang,23359.0,Rice,12910.0,Rice: 12910.0ha; Rapeseed &Mustard: 2833.5ha; Maize: 2612.2ha; Small millets: 1694.0ha; Ginger: 803.2ha
Arunachal Pradesh,Kamle,5782.7,Rice,3588.0,Rice: 3588.0ha; Small millets: 575.5ha; Maize: 509.0ha; Rapeseed &Mustard: 354.0ha; Potato: 176.5ha
Arunachal Pradesh,Kra Daadi,1661.3,Rice,568.0,Rice: 568.0ha; Maize: 305.2ha; Small millets: 217.0ha; Dry chillies: 161.5ha; Sugarcane: 109.2ha
Arunachal Pradesh,Kurung Kumey,1472.0,Rice,600.0,Rice: 600.0ha; Maize: 233.2ha; Small millets: 183.0ha; Dry chillies: 101.5ha; Potato: 86.0ha
Arunachal Pradesh,Leparada,5166.0,Rice,3521.0,Rice: 3521.0ha; Maize: 530.0ha; Small millets: 395.0ha; Rapeseed &Mustard: 325.0ha; Potato: 82.0ha
Arunachal Pradesh,Lohit,15120.4,Rice,4610.5,Rice: 4610.5ha; Maize: 4255.2ha; Rapeseed &Mustard: 4073.0ha; Potato: 395.0ha; Other Kharif pulses: 249.5ha
Arunachal Pradesh,Longding,8179.5,Rice,3035.5,Rice: 3035.5ha; Small millets: 2711.8ha; Maize: 1706.0ha; Rapeseed &Mustard: 228.0ha; Soyabean: 98.5ha
Arunachal Pradesh,Lower Dibang Valley,35318.8,Rice,14691.5,Rice: 14691.5ha; Maize: 8409.8ha; Rapeseed &Mustard: 4107.8ha; Ginger: 2954.2ha; Small millets: 1782.0ha
Arunachal Pradesh,Lower Siang,12124.1,Rice,5163.0,Rice: 5163.0ha; Maize: 2468.0ha; Small millets: 1756.0ha; Rapeseed &Mustard: 809.0ha; Potato: 417.5ha
Arunachal Pradesh,Lower Subansiri,11441.1,Rice,7065.5,Rice: 7065.5ha; Small millets: 1614.5ha; Rapeseed &Mustard: 746.0ha; Maize: 715.8ha; Potato: 326.0ha
Arunachal Pradesh,Namsai,24649.9,Rice,8672.5,Rice: 8672.5ha; Maize: 6334.8ha; Rapeseed &Mustard: 5464.0ha; Ginger: 782.0ha; Potato: 572.8ha
Arunachal Pradesh,Pakke Kessang,4719.5,Rice,2740.0,Rice: 2740.0ha; Maize: 857.0ha; Small millets: 257.0ha; Rapeseed &Mustard: 231.0ha; Other Rabi pulses: 109.0ha
Arunachal Pradesh,Papum Pare,19453.1,Rice,12076.5,Rice: 12076.5ha; Maize: 2542.2ha; Rapeseed &Mustard: 1284.5ha; Small millets: 1005.0ha; Soyabean: 335.0ha
Arunachal Pradesh,Shi Yomi,3507.0,Rice,2679.0,Rice: 2679.0ha; Maize: 243.0ha; Rapeseed &Mustard: 213.0ha; Small millets: 188.0ha; Potato: 34.0ha
Arunachal Pradesh,Siang,15191.0,Rice,7652.5,Rice: 7652.5ha; Maize: 2227.8ha; Rapeseed &Mustard: 1864.8ha; Small millets: 1522.8ha; Ginger: 469.0ha
Arunachal Pradesh,Tawang,5579.6,Small millets,1258.0,Small millets: 1258.0ha; Wheat: 1103.5ha; Maize: 909.2ha; Rice: 885.5ha; Potato: 512.2ha
Arunachal Pradesh,Tirap,9330.8,Maize,3804.2,Maize: 3804.2ha; Rice: 3051.5ha; Small millets: 1632.8ha; Potato: 175.0ha; Rapeseed &Mustard: 174.0ha
Arunachal Pradesh,Upper Siang,11484.6,Rice,6719.5,Rice: 6719.5ha; Maize: 1744.2ha; Small millets: 1402.0ha; Ginger: 301.2ha; Dry chillies: 288.5ha
Arunachal Pradesh,Upper Subansiri,9206.6,Rice,4747.0,Rice: 4747.0ha; Small millets: 1686.8ha; Maize: 1177.8ha; Potato: 258.0ha; Dry chillies: 243.5ha
Arunachal Pradesh,West Kameng,7905.5,Maize,3070.2,Maize: 3070.2ha; Small millets: 1264.0ha; Rice: 932.5ha; Wheat: 810.5ha; Potato: 466.5ha
Arunachal Pradesh,West Siang,19388.0,Rice,14239.0,Rice: 14239.0ha; Maize: 1729.5ha; Small millets: 1336.5ha; Rapeseed &Mustard: 993.8ha; Potato: 233.5ha
Assam,Baksa,68062.8,Rice,33041.6,Rice: 33041.6ha; Rapeseed &Mustard: 10856.2ha; Potato: 5156.8ha; Arecanut: 2909.2ha; Masoor: 2853.0ha
Assam,Barpeta,109605.6,Rice,40843.5,Rice: 40843.5ha; Rapeseed &Mustard: 18918.2ha; Potato: 8210.2ha; Jute: 5835.2ha; Urad: 5182.5ha
Assam,Biswanath,2858.0,Arecanut,2360.0,Arecanut: 2360.0ha; Coconut: 498.0ha
Assam,Bongaigaon,45838.8,Rice,18269.6,Rice: 18269.6ha; Rapeseed &Mustard: 7197.0ha; Potato: 2945.2ha; Urad: 2359.5ha; Jute: 2356.2ha
Assam,Cachar,55256.3,Rice,36620.2,Rice: 36620.2ha; Arecanut: 4184.2ha; Banana: 2855.0ha; Potato: 2426.0ha; Other Rabi pulses: 2358.0ha
Assam,Charaideo,1730.0,Arecanut,1230.0,Arecanut: 1230.0ha; Coconut: 500.0ha
Assam,Chirang,47047.7,Rice,14213.5,Rice: 14213.5ha; Rapeseed &Mustard: 13788.0ha; Potato: 3381.8ha; Arecanut: 3212.5ha; Masoor: 1971.5ha
Assam,Darrang,69038.4,Rice,23837.9,Rice: 23837.9ha; Rapeseed &Mustard: 14569.8ha; Maize: 6048.8ha; Potato: 5165.2ha; Jute: 4004.5ha
Assam,Dhemaji,51452.0,Rice,23384.7,Rice: 23384.7ha; Rapeseed &Mustard: 16538.8ha; Potato: 5102.5ha; Banana: 1279.2ha; Urad: 1063.2ha
Assam,Dhubri,85677.7,Rice,30252.3,Rice: 30252.3ha; Rapeseed &Mustard: 16768.8ha; Jute: 11615.0ha; Urad: 6818.8ha; Potato: 3973.2ha
Assam,Dibrugarh,35168.6,Rice,25571.0,Rice: 25571.0ha; Rapeseed &Mustard: 2455.5ha; Arecanut: 1527.8ha; Potato: 1166.2ha; Peas & beans (Pulses): 1069.8ha
Assam,Dima Hasao,32955.1,Rice,7134.0,Rice: 7134.0ha; Ginger: 4451.2ha; Sugarcane: 4062.2ha; Maize: 3412.2ha; Rapeseed &Mustard: 3303.8ha
Assam,Goalpara,57971.9,Rice,27146.4,Rice: 27146.4ha; Rapeseed &Mustard: 7851.5ha; Jute: 3464.0ha; Banana: 3076.0ha; Urad: 2330.2ha
Assam,Golaghat,69903.9,Rice,40912.5,Rice: 40912.5ha; Rapeseed &Mustard: 7770.5ha; Arecanut: 5216.0ha; Banana: 3111.8ha; Potato: 2241.2ha
Assam,Hailakandi,26127.4,Rice,14899.2,Rice: 14899.2ha; Arecanut: 2686.5ha; Other Rabi pulses: 2647.8ha; Banana: 1515.0ha; Wheat: 1238.0ha
Assam,Hojai,1179.0,Arecanut,684.0,Arecanut: 684.0ha; Coconut: 495.0ha
Assam,Jorhat,63808.3,Rice,32851.7,Rice: 32851.7ha; Rapeseed &Mustard: 10245.8ha; Urad: 5773.2ha; Arecanut: 2835.0ha; Peas & beans (Pulses): 2496.8ha
Assam,Kamrup,75265.6,Rice,35977.9,Rice: 35977.9ha; Rapeseed &Mustard: 11574.8ha; Jute: 4613.0ha; Potato: 4213.8ha; Arecanut: 3807.2ha
Assam,Kamrup Metro,12417.1,Rice,7449.2,Rice: 7449.2ha; Rapeseed &Mustard: 1485.2ha; Arecanut: 633.2ha; Banana: 632.0ha; Potato: 577.2ha
Assam,Karbi Anglong,111951.4,Rice,44953.4,Rice: 44953.4ha; Rapeseed &Mustard: 23112.0ha; Maize: 10443.2ha; Sugarcane: 7925.8ha; Sesamum: 3327.2ha
Assam,Karimganj,31700.2,Rice,22700.2,Rice: 22700.2ha; Arecanut: 2345.2ha; Potato: 1966.2ha; Banana: 1317.5ha; Coconut: 732.5ha
Assam,Kokrajhar,83384.6,Rice,33020.3,Rice: 33020.3ha; Rapeseed &Mustard: 23159.8ha; Potato: 7163.8ha; Jute: 3509.2ha; Urad: 1837.2ha
Assam,Lakhimpur,96994.9,Rice,40671.5,Rice: 40671.5ha; Rapeseed &Mustard: 24324.5ha; Urad: 10386.8ha; Potato: 8661.8ha; Arecanut: 2452.0ha
Assam,Majuli,515.0,Arecanut,380.0,Arecanut: 380.0ha; Coconut: 135.0ha
Assam,Marigaon,62835.4,Rice,29481.2,Rice: 29481.2ha; Rapeseed &Mustard: 10784.8ha; Jute: 6309.5ha; Potato: 2749.2ha; Banana: 1750.5ha
Assam,Nagaon,131381.1,Rice,65239.4,Rice: 65239.4ha; Rapeseed &Mustard: 15882.0ha; Jute: 10235.2ha; Potato: 6837.5ha; Sugarcane: 6542.2ha
Assam,Nalbari,55505.6,Rice,25488.6,Rice: 25488.6ha; Rapeseed &Mustard: 8645.0ha; Jute: 5590.2ha; Potato: 4670.8ha; Peas & beans (Pulses): 1679.2ha
Assam,Sivasagar,46238.6,Rice,34926.8,Rice: 34926.8ha; Rapeseed &Mustard: 2760.8ha; Arecanut: 1817.2ha; Banana: 1373.8ha; Peas & beans (Pulses): 1193.0ha
Assam,Sonitpur,117597.7,Rice,53835.0,Rice: 53835.0ha; Rapeseed &Mustard: 20023.8ha; Potato: 8214.2ha; Arecanut: 4763.0ha; Banana: 3852.5ha
Assam,South Salmara Mancachar,227.0,Arecanut,227.0,Arecanut: 227.0ha
Assam,Tinsukia,45017.8,Rice,20947.9,Rice: 20947.9ha; Rapeseed &Mustard: 8699.2ha; Potato: 3231.2ha; Banana: 2504.5ha; Urad: 2000.8ha
Assam,Udalguri,60754.4,Rice,29289.7,Rice: 29289.7ha; Potato: 7417.8ha; Rapeseed &Mustard: 6477.0ha; Jute: 4108.5ha; Arecanut: 2454.8ha
Assam,West Karbi Anglong,655.0,Arecanut,580.0,Arecanut: 580.0ha; Coconut: 75.0ha
Bihar,Araria,104196.8,Rice,33321.1,Rice: 33321.1ha; Wheat: 24726.5ha; Maize: 20063.7ha; Jute: 15138.8ha; Moong(Green Gram): 4309.2ha
Bihar,Arwal,57015.1,Rice,34077.2,Rice: 34077.2ha; Wheat: 15559.0ha; Masoor: 3378.5ha; Gram: 1152.2ha; Peas & beans (Pulses): 569.0ha
Bihar,Aurangabad,295319.0,Rice,173890.5,Rice: 173890.5ha; Wheat: 78297.8ha; Masoor: 19197.5ha; Khesari: 9640.2ha; Gram: 6782.5ha
Bihar,Banka,122215.9,Rice,79148.4,Rice: 79148.4ha; Wheat: 27746.0ha; Maize: 2682.2ha; Gram: 2663.2ha; Potato: 2217.5ha
Bihar,Begusarai,128934.0,Wheat,61984.0,Wheat: 61984.0ha; Maize: 18285.1ha; Soyabean: 17202.0ha; Rice: 9125.3ha; Rapeseed &Mustard: 7720.8ha
Bihar,Bhagalpur,107590.3,Wheat,48124.2,Wheat: 48124.2ha; Rice: 26351.2ha; Maize: 11988.1ha; Sugarcane: 2782.5ha; Gram: 2282.0ha
Bihar,Bhojpur,143309.7,Wheat,76546.0,Wheat: 76546.0ha; Rice: 44422.1ha; Gram: 4834.8ha; Masoor: 4443.8ha; Khesari: 3017.0ha
Bihar,Buxar,186678.6,Rice,86763.0,Rice: 86763.0ha; Wheat: 81545.2ha; Bajra: 2804.8ha; Masoor: 2795.2ha; Barley: 2757.2ha
Bihar,Darbhanga,100421.8,Wheat,57976.8,Wheat: 57976.8ha; Rice: 26012.8ha; Moong(Green Gram): 4211.4ha; Maize: 3471.4ha; Masoor: 2122.0ha
Bihar,Gaya,186880.5,Rice,93931.0,Rice: 93931.0ha; Wheat: 69102.0ha; Masoor: 6445.2ha; Gram: 4390.5ha; Potato: 3286.2ha
Bihar,Gopalganj,138732.2,Wheat,75278.5,Wheat: 75278.5ha; Rice: 33210.1ha; Sugarcane: 20166.5ha; Maize: 3896.8ha; Rapeseed &Mustard: 2516.0ha
Bihar,Jamui,91161.1,Rice,43426.8,Rice: 43426.8ha; Wheat: 33610.8ha; Gram: 2769.0ha; Arhar/Tur: 2555.0ha; Rapeseed &Mustard: 2287.2ha
Bihar,Jehanabad,72590.6,Rice,33039.0,Rice: 33039.0ha; Wheat: 23652.5ha; Masoor: 5708.5ha; Khesari: 5434.5ha; Gram: 2044.0ha
Bihar,Kaimur (Bhabua),218991.9,Rice,122104.0,Rice: 122104.0ha; Wheat: 80381.5ha; Gram: 3940.0ha; Masoor: 3902.8ha; Rapeseed &Mustard: 2069.8ha
Bihar,Katihar,109263.0,Rice,29124.7,Rice: 29124.7ha; Maize: 24130.7ha; Wheat: 20773.5ha; Jute: 18483.2ha; Rapeseed &Mustard: 3943.2ha
Bihar,Khagaria,68508.1,Wheat,28467.5,Wheat: 28467.5ha; Maize: 20167.3ha; Rice: 6537.2ha; Rapeseed &Mustard: 2979.8ha; Urad: 2286.8ha
Bihar,Kishanganj,74972.8,Rice,26161.5,Rice: 26161.5ha; Wheat: 17778.5ha; Jute: 15363.8ha; Moong(Green Gram): 3543.8ha; Linseed: 1824.8ha
Bihar,Lakhisarai,77022.1,Rice,33307.5,Rice: 33307.5ha; Wheat: 27638.8ha; Gram: 3463.8ha; Masoor: 3426.0ha; Maize: 3098.2ha
Bihar,Madhepura,89888.8,Rice,26793.6,Rice: 26793.6ha; Wheat: 25065.8ha; Maize: 13149.5ha; Moong(Green Gram): 8000.9ha; Jute: 4162.2ha
Bihar,Madhubani,180333.0,Wheat,90429.8,Wheat: 90429.8ha; Rice: 66837.3ha; Masoor: 8844.8ha; Moong(Green Gram): 8651.5ha; Potato: 2361.9ha
Bihar,Munger,31043.6,Wheat,13825.8,Wheat: 13825.8ha; Rice: 13279.0ha; Gram: 848.5ha; Maize: 751.3ha; Masoor: 652.8ha
Bihar,Muzaffarpur,210516.4,Wheat,108816.0,Wheat: 108816.0ha; Rice: 53816.8ha; Moong(Green Gram): 24541.0ha; Maize: 11076.7ha; Rapeseed &Mustard: 4867.0ha
Bihar,Nalanda,173380.7,Wheat,82237.8,Wheat: 82237.8ha; Rice: 55533.9ha; Masoor: 13438.0ha; Gram: 5125.8ha; Khesari: 3961.2ha
Bihar,Nawada,98561.2,Wheat,46849.2,Wheat: 46849.2ha; Rice: 39253.7ha; Masoor: 3265.5ha; Gram: 1819.0ha; Potato: 1023.5ha
Bihar,Pashchim Champaran,302700.6,Sugarcane,143973.0,Sugarcane: 143973.0ha; Wheat: 70301.2ha; Rice: 69934.1ha; Masoor: 8210.8ha; Rapeseed &Mustard: 3146.5ha
Bihar,Patna,152249.7,Wheat,65482.0,Wheat: 65482.0ha; Rice: 29326.3ha; Masoor: 27956.5ha; Khesari: 9130.8ha; Gram: 7243.2ha
Bihar,Purbi Champaran,267886.7,Wheat,118540.8,Wheat: 118540.8ha; Rice: 94298.8ha; Sugarcane: 22068.0ha; Maize: 15479.4ha; Masoor: 5758.0ha
Bihar,Purnia,90455.4,Rice,36659.2,Rice: 36659.2ha; Wheat: 20922.8ha; Maize: 12632.5ha; Jute: 10074.2ha; Potato: 4958.2ha
Bihar,Rohtas,357712.2,Rice,200449.8,Rice: 200449.8ha; Wheat: 140779.2ha; Gram: 3725.8ha; Masoor: 3182.0ha; Khesari: 2839.8ha
Bihar,Saharsa,109610.7,Wheat,49203.5,Wheat: 49203.5ha; Rice: 25302.1ha; Moong(Green Gram): 18240.8ha; Maize: 12116.7ha; Rapeseed &Mustard: 1456.8ha
Bihar,Samastipur,142988.2,Wheat,53469.5,Wheat: 53469.5ha; Rice: 31127.1ha; Maize: 21629.8ha; Rapeseed &Mustard: 7443.2ha; Potato: 7382.6ha
Bihar,Saran,134474.8,Wheat,84523.2,Wheat: 84523.2ha; Rice: 33015.5ha; Maize: 8183.7ha; Rapeseed &Mustard: 3139.2ha; Potato: 2324.9ha
Bihar,Sheikhpura,54751.6,Rice,25537.8,Rice: 25537.8ha; Wheat: 21846.2ha; Masoor: 2638.5ha; Khesari: 1116.2ha; Gram: 856.0ha
Bihar,Sheohar,30493.7,Wheat,14389.8,Wheat: 14389.8ha; Rice: 10909.4ha; Sugarcane: 1868.0ha; Masoor: 722.5ha; Moong(Green Gram): 596.9ha
Bihar,Sitamarhi,175080.7,Wheat,88272.2,Wheat: 88272.2ha; Rice: 48919.6ha; Sugarcane: 24466.8ha; Potato: 4543.5ha; Moong(Green Gram): 3382.8ha
Bihar,Siwan,148155.4,Wheat,90515.2,Wheat: 90515.2ha; Rice: 38951.4ha; Maize: 6039.4ha; Sugarcane: 2686.5ha; Potato: 2681.4ha
Bihar,Supaul,143979.6,Wheat,52590.2,Wheat: 52590.2ha; Rice: 34398.9ha; Moong(Green Gram): 17793.3ha; Jute: 10215.0ha; Mesta: 7560.8ha
Bihar,Vaishali,89461.8,Wheat,41239.2,Wheat: 41239.2ha; Rice: 18083.6ha; Maize: 10652.8ha; Tobacco: 5789.8ha; Potato: 4034.2ha
Chandigarh,Chandigarh,582.0,Wheat,547.0,Wheat: 547.0ha; Rice: 27.0ha; Maize: 8.0ha
Chhattisgarh,Balod,236556.5,Rice,188340.0,Rice: 188340.0ha; Khesari: 28559.2ha; Gram: 10288.2ha; Wheat: 2727.2ha; Sugarcane: 1730.8ha
Chhattisgarh,Baloda Bazar,252540.3,Rice,229782.5,Rice: 229782.5ha; Khesari: 8979.0ha; Wheat: 4404.2ha; Gram: 2505.8ha; Small millets: 1433.2ha
Chhattisgarh,Balrampur,174358.2,Rice,85381.0,Rice: 85381.0ha; Maize: 23901.0ha; Wheat: 8898.8ha; Niger seed: 8859.2ha; Rapeseed &Mustard: 8245.2ha
Chhattisgarh,Bastar,165821.0,Rice,131123.0,Rice: 131123.0ha; Maize: 10187.0ha; Small millets: 9491.0ha; Niger seed: 5910.2ha; Horse-gram: 2090.2ha
Chhattisgarh,Bemetara,346534.6,Rice,176261.0,Rice: 176261.0ha; Gram: 98424.8ha; Soyabean: 27637.8ha; Wheat: 16265.2ha; Khesari: 16092.0ha
Chhattisgarh,Bijapur,65353.4,Rice,63548.2,Rice: 63548.2ha; Maize: 535.8ha; Jowar: 223.0ha; Moong(Green Gram): 218.5ha; Urad: 175.1ha
Chhattisgarh,Bilaspur,237433.3,Rice,210796.5,Rice: 210796.5ha; Khesari: 9158.2ha; Wheat: 5878.0ha; Gram: 2007.2ha; Maize: 2003.8ha
Chhattisgarh,Dantewada,94887.7,Rice,70853.0,Rice: 70853.0ha; Small millets: 18609.2ha; Maize: 2496.8ha; Rapeseed &Mustard: 627.0ha; Other Kharif pulses: 357.5ha
Chhattisgarh,Dhamtari,212276.1,Rice,173953.2,Rice: 173953.2ha; Khesari: 16993.2ha; Gram: 13332.0ha; Wheat: 2057.8ha; Maize: 1596.5ha
Chhattisgarh,Durg,179303.7,Rice,134420.0,Rice: 134420.0ha; Gram: 17715.5ha; Khesari: 9016.2ha; Wheat: 7954.2ha; Soyabean: 4192.8ha
Chhattisgarh,Gariyaband,154456.3,Rice,142785.8,Rice: 142785.8ha; Maize: 5685.5ha; Khesari: 1951.0ha; Urad: 611.9ha; Moong(Green Gram): 512.9ha
Chhattisgarh,Gaurella-Pendra-Marwahi,66668.8,Rice,59718.0,Rice: 59718.0ha; Maize: 1879.0ha; Wheat: 1086.0ha; Gram: 701.0ha; Small millets: 651.0ha
Chhattisgarh,Janjgir-Champa,265944.2,Rice,258157.5,Rice: 258157.5ha; Wheat: 1546.2ha; Khesari: 1312.5ha; Arhar/Tur: 646.0ha; Groundnut: 546.2ha
Chhattisgarh,Jashpur,247457.1,Rice,183413.2,Rice: 183413.2ha; Niger seed: 20264.5ha; Urad: 11891.8ha; Maize: 5462.8ha; Groundnut: 4564.2ha
Chhattisgarh,Kabirdham,275557.8,Rice,114746.8,Rice: 114746.8ha; Gram: 83603.8ha; Soyabean: 24048.0ha; Sugarcane: 21856.8ha; Wheat: 7547.5ha
Chhattisgarh,Kanker,217363.3,Rice,187106.8,Rice: 187106.8ha; Maize: 9832.8ha; Small millets: 7022.8ha; Horse-gram: 4331.4ha; Urad: 2193.5ha
Chhattisgarh,Kondagaon,138267.0,Rice,106360.5,Rice: 106360.5ha; Maize: 15744.2ha; Urad: 5296.3ha; Horse-gram: 4096.2ha; Ragi: 2238.8ha
Chhattisgarh,Korba,126996.0,Rice,108815.0,Rice: 108815.0ha; Horse-gram: 3905.8ha; Maize: 3660.8ha; Urad: 1631.1ha; Rapeseed &Mustard: 1614.0ha
Chhattisgarh,Korea,105392.7,Rice,69168.0,Rice: 69168.0ha; Maize: 7251.8ha; Small millets: 5409.5ha; Urad: 4083.0ha; Arhar/Tur: 3591.2ha
Chhattisgarh,Mahasamund,300293.6,Rice,287255.5,Rice: 287255.5ha; Urad: 3446.1ha; Groundnut: 3307.0ha; Wheat: 1546.2ha; Khesari: 1352.2ha
Chhattisgarh,Mungeli,218975.7,Rice,118482.2,Rice: 118482.2ha; Khesari: 68126.5ha; Gram: 17011.2ha; Wheat: 5687.8ha; Soyabean: 4616.8ha
Chhattisgarh,Narayanpur,31236.2,Rice,24420.5,Rice: 24420.5ha; Small millets: 2010.2ha; Horse-gram: 1581.5ha; Urad: 1066.2ha; Maize: 1050.0ha
Chhattisgarh,Raigarh,274303.2,Rice,238970.5,Rice: 238970.5ha; Urad: 7456.5ha; Groundnut: 5304.2ha; Wheat: 4309.2ha; Sesamum: 2482.2ha
Chhattisgarh,Raipur,195975.5,Rice,170641.2,Rice: 170641.2ha; Khesari: 12191.5ha; Wheat: 3929.0ha; Gram: 3248.8ha; Rapeseed &Mustard: 1646.2ha
Chhattisgarh,Rajnandgaon,492560.1,Rice,308912.2,Rice: 308912.2ha; Gram: 88860.0ha; Soyabean: 25201.2ha; Khesari: 19955.0ha; Wheat: 14780.5ha
Chhattisgarh,Sukma,101195.2,Rice,83622.5,Rice: 83622.5ha; Small millets: 8973.8ha; Maize: 2428.5ha; Sesamum: 1914.8ha; Jowar: 780.5ha
Chhattisgarh,Surajpur,164775.0,Rice,110437.8,Rice: 110437.8ha; Maize: 10286.8ha; Wheat: 5827.5ha; Rapeseed &Mustard: 3937.2ha; Arhar/Tur: 3764.5ha
Chhattisgarh,Surguja,170228.7,Rice,116469.2,Rice: 116469.2ha; Maize: 9317.0ha; Niger seed: 7402.2ha; Wheat: 5451.0ha; Rapeseed &Mustard: 5184.0ha
Dadra and Nagar Haveli,Dadra And Nagar Haveli,12287.9,Rice,7701.5,Rice: 7701.5ha; Urad: 985.0ha; Ragi: 961.7ha; Arhar/Tur: 846.4ha; Other Kharif pulses: 698.0ha
Daman and Diu,Daman,1738.3,Rice,1738.3,Rice: 1738.3ha
Daman and Diu,Diu,479.3,Bajra,479.3,Bajra: 479.3ha
Delhi,Delhi_Total,33331.5,Wheat,19435.2,Wheat: 19435.2ha; Rice: 5880.8ha; Rapeseed &Mustard: 3250.0ha; Jowar: 3174.8ha; Bajra: 1485.5ha
Goa,North Goa,61767.2,Cashewnut,37292.0,Cashewnut: 37292.0ha; Coconut: 9273.2ha; Rice: 7853.6ha; Other Rabi pulses: 4470.0ha; Banana: 957.5ha
Goa,South Goa,52614.5,Cashewnut,19177.0,Cashewnut: 19177.0ha; Coconut: 16978.0ha; Rice: 10949.5ha; Banana: 1476.0ha; Arecanut: 1332.5ha
Gujarat,Ahmadabad,423187.5,Wheat,140081.0,Wheat: 140081.0ha; Cotton(lint): 107255.0ha; Rice: 71622.0ha; Castor seed: 50453.5ha; Gram: 34468.2ha
Gujarat,Amreli,479780.5,Cotton(lint),382086.0,Cotton(lint): 382086.0ha; Groundnut: 61425.4ha; Wheat: 12370.8ha; Gram: 7491.5ha; Sesamum: 3275.6ha
Gujarat,Anand,191908.7,Wheat,58941.8,Wheat: 58941.8ha; Rice: 55398.8ha; Tobacco: 34341.2ha; Bajra: 19243.1ha; Banana: 6993.5ha
