State,District,Soil_N_kgha,Soil_P_kgha,Soil_K_kgha,Soil_pH,Soil_Type,Organic_Carbon_Pct,Soil_Moisture_Pct
Arunachal Pradesh,EAST SIANG,184,22,214,7.1,Alluvial Loam,0.56,33
Arunachal Pradesh,KAMLE,171,21,200,7.0,Alluvial Loam,0.52,34
Arunachal Pradesh,KRA DAADI,176,22,206,7.2,Alluvial Loam,0.54,34
Arunachal Pradesh,KURUNG KUMEY,173,21,202,7.0,Alluvial Loam,0.53,35
Arunachal Pradesh,LEPARADA,173,21,202,7.2,Alluvial Loam,0.53,33
Arunachal Pradesh,LOHIT,171,21,200,7.4,Alluvial Loam,0.52,35
Arunachal Pradesh,LONGDING,175,21,204,7.3,Alluvial Loam,0.53,32
Arunachal Pradesh,LOWER DIBANG VALLEY,169,21,197,7.2,Alluvial Loam,0.52,32
Arunachal Pradesh,LOWER SIANG,169,21,197,7.2,Alluvial Loam,0.52,34
Arunachal Pradesh,LOWER SUBANSIRI,182,22,212,7.2,Alluvial Loam,0.56,35
Arunachal Pradesh,NAMSAI,176,22,206,7.2,Alluvial Loam,0.54,32
Arunachal Pradesh,PAKKE KESSANG,169,21,197,7.4,Alluvial Loam,0.52,35
Arunachal Pradesh,PAPUM PARE,176,22,206,7.4,Alluvial Loam,0.54,33
Arunachal Pradesh,SHI YOMI,189,23,220,7.4,Alluvial Loam,0.58,35
Arunachal Pradesh,SIANG,173,21,202,7.1,Alluvial Loam,0.53,35
Arunachal Pradesh,TAWANG,175,21,204,7.0,Alluvial Loam,0.53,35
Arunachal Pradesh,TIRAP,184,22,214,7.2,Alluvial Loam,0.56,32
Arunachal Pradesh,UPPER SIANG,176,22,206,7.4,Alluvial Loam,0.54,35
Arunachal Pradesh,UPPER SUBANSIRI,180,22,210,7.0,Alluvial Loam,0.55,35
Arunachal Pradesh,WEST KAMENG,176,22,206,7.2,Alluvial Loam,0.54,34
Arunachal Pradesh,WEST SIANG,178,22,208,7.2,Alluvial Loam,0.54,33
Assam,BAKSA,226,23,150,5.4,Acidic Alluvial Sandy Clay,0.92,45
Assam,BARPETA,235,24,157,5.3,Acidic Alluvial Sandy Clay,0.96,46
Assam,BISWANATH,252,25,168,5.0,Acidic Alluvial Sandy Clay,1.03,46
Assam,BONGAIGAON,235,24,157,5.1,Acidic Alluvial Sandy Clay,0.96,46
Assam,CACHAR,226,23,150,5.0,Acidic Alluvial Sandy Clay,0.92,47
Assam,CHARAIDEO,238,24,158,5.4,Acidic Alluvial Sandy Clay,0.97,43
Assam,CHIRANG,233,23,155,5.2,Acidic Alluvial Sandy Clay,0.95,45
Assam,DARRANG,235,24,157,5.0,Acidic Alluvial Sandy Clay,0.96,46
Assam,DHEMAJI,228,23,152,5.4,Acidic Alluvial Sandy Clay,0.93,47
Assam,DHUBRI,250,25,166,5.2,Acidic Alluvial Sandy Clay,1.02,47
Assam,DIBRUGARH,230,23,154,5.3,Acidic Alluvial Sandy Clay,0.94,44
Assam,DIMA HASAO,230,23,154,5.0,Acidic Alluvial Sandy Clay,0.94,46
Assam,GOALPARA,245,24,163,5.2,Acidic Alluvial Sandy Clay,1.0,46
Assam,GOLAGHAT,230,23,154,5.3,Acidic Alluvial Sandy Clay,0.94,43
Assam,HAILAKANDI,245,24,163,5.4,Acidic Alluvial Sandy Clay,1.0,43
Assam,HOJAI,238,24,158,5.4,Acidic Alluvial Sandy Clay,0.97,44
Assam,JORHAT,252,25,168,5.1,Acidic Alluvial Sandy Clay,1.03,46
Assam,KAMRUP,238,24,158,5.2,Acidic Alluvial Sandy Clay,0.97,46
Assam,KAMRUP METRO,250,25,166,5.4,Acidic Alluvial Sandy Clay,1.02,45
Assam,KARBI ANGLONG,226,23,150,5.4,Acidic Alluvial Sandy Clay,0.92,45
Assam,KARIMGANJ,230,23,154,5.0,Acidic Alluvial Sandy Clay,0.94,44
Assam,KOKRAJHAR,238,24,158,5.4,Acidic Alluvial Sandy Clay,0.97,43
Assam,LAKHIMPUR,238,24,158,5.2,Acidic Alluvial Sandy Clay,0.97,44
Assam,MAJULI,254,25,170,5.4,Acidic Alluvial Sandy Clay,1.04,43
Assam,MARIGAON,240,24,160,5.4,Acidic Alluvial Sandy Clay,0.98,45
Assam,NAGAON,242,24,162,5.2,Acidic Alluvial Sandy Clay,0.99,45
Assam,NALBARI,242,24,162,5.1,Acidic Alluvial Sandy Clay,0.99,43
Assam,SIVASAGAR,254,25,170,5.2,Acidic Alluvial Sandy Clay,1.04,44
Assam,SONITPUR,247,25,165,5.3,Acidic Alluvial Sandy Clay,1.01,45
Assam,SOUTH SALMARA MANCACHAR,230,23,154,5.2,Acidic Alluvial Sandy Clay,0.94,47
Assam,TINSUKIA,226,23,150,5.2,Acidic Alluvial Sandy Clay,0.92,44
Assam,UDALGURI,252,25,168,5.1,Acidic Alluvial Sandy Clay,1.03,47
Assam,WEST KARBI ANGLONG,247,25,165,5.1,Acidic Alluvial Sandy Clay,1.01,44
Bihar,ARARIA,173,22,193,7.8,Calcareous Alluvial,0.54,35
Bihar,ARWAL,184,23,205,7.4,Calcareous Alluvial,0.58,36
Bihar,AURANGABAD,177,22,197,7.5,Calcareous Alluvial,0.56,37
Bihar,BANKA,170,21,189,7.7,Calcareous Alluvial,0.53,35
Bihar,BEGUSARAI,170,21,189,7.6,Calcareous Alluvial,0.53,36
Bihar,BHAGALPUR,168,21,187,7.8,Calcareous Alluvial,0.53,35
Bihar,BHOJPUR,186,23,207,7.5,Calcareous Alluvial,0.58,38
Bihar,BOKARO,182,23,203,7.4,Calcareous Alluvial,0.57,34
Bihar,BUXAR,164,21,183,7.5,Calcareous Alluvial,0.52,36
Bihar,CHATRA,182,23,203,7.4,Calcareous Alluvial,0.57,34
Bihar,DARBHANGA,172,22,191,7.8,Calcareous Alluvial,0.54,37
Bihar,DEOGHAR,178,22,199,7.5,Calcareous Alluvial,0.56,34
Bihar,DHANBAD,164,21,183,7.6,Calcareous Alluvial,0.52,37
Bihar,DUMKA,178,22,199,7.8,Calcareous Alluvial,0.56,36
Bihar,EAST SINGHBUM,172,22,191,7.5,Calcareous Alluvial,0.54,36
Bihar,GARHWA,178,22,199,7.6,Calcareous Alluvial,0.56,38
Bihar,GAYA,168,21,187,7.8,Calcareous Alluvial,0.53,37
Bihar,GIRIDIH,173,22,193,7.6,Calcareous Alluvial,0.54,35
Bihar,GODDA,172,22,191,7.6,Calcareous Alluvial,0.54,35
Bihar,GOPALGANJ,164,21,183,7.5,Calcareous Alluvial,0.52,35
Bihar,GUMLA,172,22,191,7.4,Calcareous Alluvial,0.54,37
Bihar,HAZARIBAGH,178,22,199,7.6,Calcareous Alluvial,0.56,37
Bihar,JAMUI,166,21,185,7.7,Calcareous Alluvial,0.52,37
Bihar,JEHANABAD,184,23,205,7.8,Calcareous Alluvial,0.58,34
Bihar,KAIMUR (BHABUA),186,23,207,7.4,Calcareous Alluvial,0.58,36
Bihar,KATIHAR,180,23,201,7.6,Calcareous Alluvial,0.57,35
Bihar,KHAGARIA,186,23,207,7.6,Calcareous Alluvial,0.58,36
Bihar,KISHANGANJ,184,23,205,7.8,Calcareous Alluvial,0.58,35
Bihar,KODERMA,164,21,183,7.8,Calcareous Alluvial,0.52,37
Bihar,LAKHISARAI,164,21,183,7.6,Calcareous Alluvial,0.52,37
Bihar,LOHARDAGA,184,23,205,7.4,Calcareous Alluvial,0.58,36
Bihar,MADHEPURA,184,23,205,7.8,Calcareous Alluvial,0.58,35
Bihar,MADHUBANI,166,21,185,7.8,Calcareous Alluvial,0.52,37
Bihar,MUNGER,177,22,197,7.5,Calcareous Alluvial,0.56,36
Bihar,MUZAFFARPUR,186,23,207,7.6,Calcareous Alluvial,0.58,37
Bihar,NALANDA,166,21,185,7.5,Calcareous Alluvial,0.52,35
Bihar,NAWADA,170,21,189,7.6,Calcareous Alluvial,0.53,35
Bihar,PAKUR,186,23,207,7.8,Calcareous Alluvial,0.58,35
Bihar,PALAMU,180,23,201,7.4,Calcareous Alluvial,0.57,35
Bihar,PASHCHIM CHAMPARAN,168,21,187,7.8,Calcareous Alluvial,0.53,37
Bihar,PATNA,184,23,205,7.4,Calcareous Alluvial,0.58,35
Bihar,PURBI CHAMPARAN,182,23,203,7.6,Calcareous Alluvial,0.57,37
Bihar,PURNIA,186,23,207,7.5,Calcareous Alluvial,0.58,37
Bihar,RANCHI,177,22,197,7.8,Calcareous Alluvial,0.56,37
Bihar,ROHTAS,175,22,195,7.4,Calcareous Alluvial,0.55,35
Bihar,SAHARSA,168,21,187,7.5,Calcareous Alluvial,0.53,38
Bihar,SAHEBGANJ,168,21,187,7.8,Calcareous Alluvial,0.53,35
Bihar,SAMASTIPUR,164,21,183,7.8,Calcareous Alluvial,0.52,35
Bihar,SARAN,184,23,205,7.6,Calcareous Alluvial,0.58,35
Bihar,SHEIKHPURA,175,22,195,7.7,Calcareous Alluvial,0.55,35
Bihar,SHEOHAR,182,23,203,7.7,Calcareous Alluvial,0.57,36
Bihar,SITAMARHI,182,23,203,7.4,Calcareous Alluvial,0.57,35
Bihar,SIWAN,164,21,183,7.4,Calcareous Alluvial,0.52,35
Bihar,SUPAUL,164,21,183,7.6,Calcareous Alluvial,0.52,34
Bihar,VAISHALI,177,22,197,7.5,Calcareous Alluvial,0.56,37
Bihar,WEST SINGHBHUM,186,23,207,7.6,Calcareous Alluvial,0.58,37
Chandigarh,CHANDIGARH,171,21,200,7.0,Alluvial Loam,0.52,32
Chhattisgarh,BALOD,187,19,187,6.6,Red & Yellow Clay Loam (Matasi),0.61,35
Chhattisgarh,BALODA BAZAR,196,20,196,6.6,Red & Yellow Clay Loam (Matasi),0.64,36
Chhattisgarh,BALRAMPUR,191,20,191,6.5,Red & Yellow Clay Loam (Matasi),0.62,38
Chhattisgarh,BASTAR,178,18,178,6.5,Red & Yellow Clay Loam (Matasi),0.58,38
Chhattisgarh,BEMETARA,174,18,174,6.4,Red & Yellow Clay Loam (Matasi),0.56,36
Chhattisgarh,BIJAPUR,187,19,187,6.4,Red & Yellow Clay Loam (Matasi),0.61,39
Chhattisgarh,BILASPUR,191,20,191,6.6,Red & Yellow Clay Loam (Matasi),0.62,38
Chhattisgarh,DANTEWADA,176,18,176,6.5,Red & Yellow Clay Loam (Matasi),0.57,36
Chhattisgarh,DHAMTARI,181,19,181,6.5,Red & Yellow Clay Loam (Matasi),0.59,38
Chhattisgarh,DURG,176,18,176,6.4,Red & Yellow Clay Loam (Matasi),0.57,36
Chhattisgarh,GARIYABAND,183,19,183,6.6,Red & Yellow Clay Loam (Matasi),0.59,39
Chhattisgarh,GAURELLA-PENDRA-MARWAHI,174,18,174,6.2,Red & Yellow Clay Loam (Matasi),0.56,37
Chhattisgarh,JANJGIR-CHAMPA,181,19,181,6.6,Red & Yellow Clay Loam (Matasi),0.59,37
Chhattisgarh,JASHPUR,194,20,194,6.4,Red & Yellow Clay Loam (Matasi),0.63,37
Chhattisgarh,KABIRDHAM,183,19,183,6.4,Red & Yellow Clay Loam (Matasi),0.59,38
Chhattisgarh,KANKER,178,18,178,6.2,Red & Yellow Clay Loam (Matasi),0.58,37
Chhattisgarh,KONDAGAON,176,18,176,6.3,Red & Yellow Clay Loam (Matasi),0.57,39
Chhattisgarh,KORBA,183,19,183,6.6,Red & Yellow Clay Loam (Matasi),0.59,38
Chhattisgarh,KOREA,183,19,183,6.5,Red & Yellow Clay Loam (Matasi),0.59,35
Chhattisgarh,MAHASAMUND,183,19,183,6.2,Red & Yellow Clay Loam (Matasi),0.59,36
Chhattisgarh,MUNGELI,192,20,192,6.5,Red & Yellow Clay Loam (Matasi),0.62,37
Chhattisgarh,NARAYANPUR,194,20,194,6.5,Red & Yellow Clay Loam (Matasi),0.63,37
Chhattisgarh,RAIGARH,178,18,178,6.3,Red & Yellow Clay Loam (Matasi),0.58,36
Chhattisgarh,RAIPUR,178,18,178,6.2,Red & Yellow Clay Loam (Matasi),0.58,36
Chhattisgarh,RAJNANDGAON,174,18,174,6.6,Red & Yellow Clay Loam (Matasi),0.56,38
Chhattisgarh,SUKMA,196,20,196,6.6,Red & Yellow Clay Loam (Matasi),0.64,36
Chhattisgarh,SURAJPUR,194,20,194,6.2,Red & Yellow Clay Loam (Matasi),0.63,35
Chhattisgarh,SURGUJA,187,19,187,6.4,Red & Yellow Clay Loam (Matasi),0.61,35
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,187,23,218,7.3,Alluvial Loam,0.57,34
Daman and Diu,DAMAN,185,23,216,7.3,Alluvial Loam,0.57,34
Daman and Diu,DIU,173,21,202,7.4,Alluvial Loam,0.53,34
Daman and Diu,Daman and Diu,176,22,206,7.2,Alluvial Loam,0.54,33
Delhi,DELHI_TOTAL,180,22,210,7.2,Alluvial Loam,0.55,35
Delhi,Delhi,169,21,197,7.3,Alluvial Loam,0.52,35
Goa,Goa,182,22,212,7.3,Alluvial Loam,0.56,33
Goa,NORTH GOA,191,23,223,7.2,Alluvial Loam,0.58,35
Goa,SOUTH GOA,191,23,223,7.0,Alluvial Loam,0.58,34
Gujarat,AHMADABAD,166,22,270,8.0,Black / Alluvial Sandy Loam,0.5,31
Gujarat,AMRELI,158,21,257,8.1,Black / Alluvial Sandy Loam,0.48,32
Gujarat,ANAND,170,22,276,7.8,Black / Alluvial Sandy Loam,0.51,28
Gujarat,ARAVALLI,157,21,255,8.0,Black / Alluvial Sandy Loam,0.47,30
Gujarat,BANAS KANTHA,157,21,255,7.8,Black / Alluvial Sandy Loam,0.47,31
Gujarat,BHARUCH,165,22,268,7.8,Black / Alluvial Sandy Loam,0.49,30
Gujarat,BHAVNAGAR,152,20,247,8.0,Black / Alluvial Sandy Loam,0.46,30
Gujarat,BOTAD,162,21,263,7.7,Black / Alluvial Sandy Loam,0.48,29
Gujarat,CHHOTAUDEPUR,157,21,255,7.9,Black / Alluvial Sandy Loam,0.47,30
Gujarat,DANG,162,21,263,7.9,Black / Alluvial Sandy Loam,0.48,29
Gujarat,DEVBHUMI DWARKA,162,21,263,7.7,Black / Alluvial Sandy Loam,0.48,28
Gujarat,DOHAD,155,20,252,8.0,Black / Alluvial Sandy Loam,0.47,30
Gujarat,GANDHINAGAR,150,20,244,7.9,Black / Alluvial Sandy Loam,0.45,31
Gujarat,GIR SOMNATH,152,20,247,7.8,Black / Alluvial Sandy Loam,0.46,29
Gujarat,JAMNAGAR,166,22,270,7.7,Black / Alluvial Sandy Loam,0.5,31
Gujarat,JUNAGADH,166,22,270,7.8,Black / Alluvial Sandy Loam,0.5,29
Gujarat,KACHCHH,165,22,268,8.1,Black / Alluvial Sandy Loam,0.49,28
Gujarat,KHEDA,157,21,255,7.9,Black / Alluvial Sandy Loam,0.47,28
Gujarat,MAHESANA,162,21,263,7.7,Black / Alluvial Sandy Loam,0.48,29
Gujarat,MAHISAGAR,154,20,250,8.0,Black / Alluvial Sandy Loam,0.46,29
Gujarat,MORBI,150,20,244,8.1,Black / Alluvial Sandy Loam,0.45,29
Gujarat,NARMADA,170,22,276,7.8,Black / Alluvial Sandy Loam,0.51,32
Gujarat,NAVSARI,163,21,265,7.8,Black / Alluvial Sandy Loam,0.49,28
Gujarat,PANCH MAHALS,162,21,263,8.1,Black / Alluvial Sandy Loam,0.48,31
Gujarat,PATAN,168,22,273,7.9,Black / Alluvial Sandy Loam,0.5,30
Gujarat,PORBANDAR,155,20,252,8.1,Black / Alluvial Sandy Loam,0.47,31
Gujarat,RAJKOT,166,22,270,8.0,Black / Alluvial Sandy Loam,0.5,29
Gujarat,SABAR KANTHA,168,22,273,8.0,Black / Alluvial Sandy Loam,0.5,31
Gujarat,SURAT,160,21,260,8.1,Black / Alluvial Sandy Loam,0.48,28
Gujarat,SURENDRANAGAR,168,22,273,7.9,Black / Alluvial Sandy Loam,0.5,31
Gujarat,TAPI,154,20,250,8.1,Black / Alluvial Sandy Loam,0.46,29
Gujarat,VADODARA,163,21,265,7.9,Black / Alluvial Sandy Loam,0.49,28
Gujarat,VALSAD,158,21,257,7.8,Black / Alluvial Sandy Loam,0.48,30
Haryana,AMBALA,204,26,235,7.9,Sandy Loam,0.53,31
Haryana,BHIWANI,188,24,216,7.5,Sandy Loam,0.49,32
Haryana,CHARKI DADRI,204,26,235,7.6,Sandy Loam,0.53,32
Haryana,FARIDABAD,188,24,216,7.8,Sandy Loam,0.49,31
Haryana,FATEHABAD,194,24,223,7.8,Sandy Loam,0.5,32
Haryana,GURGAON,212,26,244,7.8,Sandy Loam,0.55,32
Haryana,HISAR,196,24,225,7.7,Sandy Loam,0.51,34
Haryana,JHAJJAR,204,26,235,7.5,Sandy Loam,0.53,32
Haryana,JIND,212,26,244,7.9,Sandy Loam,0.55,31
Haryana,KAITHAL,210,26,242,7.8,Sandy Loam,0.55,30
Haryana,KARNAL,200,25,230,7.5,Sandy Loam,0.52,31
Haryana,KURUKSHETRA,204,26,235,7.5,Sandy Loam,0.53,30
Haryana,MAHENDRAGARH,194,24,223,7.7,Sandy Loam,0.5,34
Haryana,MEWAT,208,26,239,7.5,Sandy Loam,0.54,33
Haryana,PALWAL,196,24,225,7.8,Sandy Loam,0.51,32
Haryana,PANCHKULA,208,26,239,7.9,Sandy Loam,0.54,32
Haryana,PANIPAT,194,24,223,7.8,Sandy Loam,0.5,33
Haryana,REWARI,192,24,221,7.7,Sandy Loam,0.5,32
Haryana,ROHTAK,202,25,232,7.7,Sandy Loam,0.53,31
Haryana,SIRSA,206,26,237,7.6,Sandy Loam,0.54,32
Haryana,SONIPAT,200,25,230,7.9,Sandy Loam,0.52,33
Haryana,YAMUNANAGAR,190,24,218,7.6,Sandy Loam,0.49,30
Himachal Pradesh,BILASPUR,237,26,196,6.2,Brown Hill Loam,1.13,41
Himachal Pradesh,CHAMBA,242,26,200,6.2,Brown Hill Loam,1.16,42
Himachal Pradesh,HAMIRPUR,225,24,186,6.2,Brown Hill Loam,1.08,42
Himachal Pradesh,KANGRA,237,26,196,6.3,Brown Hill Loam,1.13,39
Himachal Pradesh,KINNAUR,216,24,179,6.2,Brown Hill Loam,1.03,39
Himachal Pradesh,KULLU,244,26,201,6.2,Brown Hill Loam,1.17,40
Himachal Pradesh,LAHUL AND SPITI,232,25,192,6.0,Brown Hill Loam,1.11,38
Himachal Pradesh,MANDI,221,24,182,6.1,Brown Hill Loam,1.06,41
Himachal Pradesh,SHIMLA,223,24,184,6.0,Brown Hill Loam,1.07,42
Himachal Pradesh,SIRMAUR,221,24,182,6.0,Brown Hill Loam,1.06,42
Himachal Pradesh,SOLAN,235,26,194,6.1,Brown Hill Loam,1.12,40
Himachal Pradesh,UNA,235,26,194,6.0,Brown Hill Loam,1.12,42
Jammu and Kashmir,ANANTNAG,212,25,183,6.7,Brown Forest / Alluvial Loam,0.99,38
Jammu and Kashmir,BADGAM,216,26,187,6.6,Brown Forest / Alluvial Loam,1.01,39
Jammu and Kashmir,BANDIPORA,227,27,197,6.6,Brown Forest / Alluvial Loam,1.06,37
Jammu and Kashmir,BARAMULLA,223,27,193,6.9,Brown Forest / Alluvial Loam,1.04,36
Jammu and Kashmir,DODA,212,25,183,6.5,Brown Forest / Alluvial Loam,0.99,38
Jammu and Kashmir,GANDERBAL,223,27,193,6.8,Brown Forest / Alluvial Loam,1.04,36
Jammu and Kashmir,JAMMU,214,26,185,6.8,Brown Forest / Alluvial Loam,1.0,38
Jammu and Kashmir,KARGIL,227,27,197,6.7,Brown Forest / Alluvial Loam,1.06,38
Jammu and Kashmir,KATHUA,234,28,203,6.8,Brown Forest / Alluvial Loam,1.09,38
Jammu and Kashmir,KISHTWAR,225,27,195,6.5,Brown Forest / Alluvial Loam,1.05,38
Jammu and Kashmir,KULGAM,225,27,195,6.6,Brown Forest / Alluvial Loam,1.05,40
Jammu and Kashmir,KUPWARA,214,26,185,6.9,Brown Forest / Alluvial Loam,1.0,36
Jammu and Kashmir,LEH LADAKH,214,26,185,6.6,Brown Forest / Alluvial Loam,1.0,38
Jammu and Kashmir,POONCH,227,27,197,6.8,Brown Forest / Alluvial Loam,1.06,40
Jammu and Kashmir,PULWAMA,218,26,189,6.7,Brown Forest / Alluvial Loam,1.02,40
Jammu and Kashmir,RAJAURI,230,28,199,6.5,Brown Forest / Alluvial Loam,1.07,40
Jammu and Kashmir,RAMBAN,232,28,201,6.8,Brown Forest / Alluvial Loam,1.08,37
Jammu and Kashmir,REASI,220,26,191,6.8,Brown Forest / Alluvial Loam,1.03,37
Jammu and Kashmir,SAMBA,238,29,207,6.9,Brown Forest / Alluvial Loam,1.11,39
Jammu and Kashmir,SHOPIAN,218,26,189,6.9,Brown Forest / Alluvial Loam,1.02,38
Jammu and Kashmir,SRINAGAR,238,29,207,6.8,Brown Forest / Alluvial Loam,1.11,38
Jammu and Kashmir,UDHAMPUR,220,26,191,6.7,Brown Forest / Alluvial Loam,1.03,37
Jharkhand,BOKARO,184,17,160,5.6,Red / Lateritic Loam,0.6,37
Jharkhand,CHATRA,184,17,160,5.5,Red / Lateritic Loam,0.6,35
Jharkhand,DEOGHAR,194,18,168,5.5,Red / Lateritic Loam,0.63,38
Jharkhand,DHANBAD,196,19,170,5.8,Red / Lateritic Loam,0.64,35
Jharkhand,DUMKA,186,18,162,5.7,Red / Lateritic Loam,0.61,36
Jharkhand,EAST SINGHBUM,179,17,155,5.5,Red / Lateritic Loam,0.58,35
Jharkhand,GARHWA,186,18,162,5.8,Red / Lateritic Loam,0.61,35
Jharkhand,GIRIDIH,200,19,173,5.6,Red / Lateritic Loam,0.65,35
Jharkhand,GODDA,186,18,162,5.4,Red / Lateritic Loam,0.61,35
Jharkhand,GUMLA,182,17,158,5.4,Red / Lateritic Loam,0.6,35
Jharkhand,HAZARIBAGH,180,17,157,5.5,Red / Lateritic Loam,0.59,38
Jharkhand,JAMTARA,182,17,158,5.7,Red / Lateritic Loam,0.6,35
Jharkhand,KHUNTI,182,17,158,5.4,Red / Lateritic Loam,0.6,37
Jharkhand,KODERMA,186,18,162,5.6,Red / Lateritic Loam,0.61,36
Jharkhand,LATEHAR,192,18,167,5.8,Red / Lateritic Loam,0.63,37
Jharkhand,LOHARDAGA,198,19,172,5.8,Red / Lateritic Loam,0.64,35
Jharkhand,PAKUR,184,17,160,5.5,Red / Lateritic Loam,0.6,35
Jharkhand,PALAMU,190,18,165,5.5,Red / Lateritic Loam,0.62,37
Jharkhand,RAMGARH,188,18,163,5.4,Red / Lateritic Loam,0.61,36
Jharkhand,RANCHI,200,19,173,5.6,Red / Lateritic Loam,0.65,35
Jharkhand,SAHEBGANJ,196,19,170,5.8,Red / Lateritic Loam,0.64,34
Jharkhand,SARAIKELA KHARSAWAN,200,19,173,5.5,Red / Lateritic Loam,0.65,34
Jharkhand,SIMDEGA,182,17,158,5.5,Red / Lateritic Loam,0.6,36
Jharkhand,WEST SINGHBHUM,201,19,175,5.6,Red / Lateritic Loam,0.66,37
Karnataka,BAGALKOT,179,21,209,7.0,Red Sandy Loam / Black Soil,0.56,33
Karnataka,BAGALKOTE,194,23,226,6.6,Red Sandy Loam / Black Soil,0.61,34
Karnataka,BALLARI,179,21,209,6.6,Red Sandy Loam / Black Soil,0.56,36
Karnataka,BANGALORE RURAL,179,21,209,6.8,Red Sandy Loam / Black Soil,0.56,32
Karnataka,BELAGAVI,178,21,206,7.0,Red Sandy Loam / Black Soil,0.56,36
Karnataka,BELGAUM,174,21,202,6.8,Red Sandy Loam / Black Soil,0.55,34
Karnataka,BELLARY,185,22,215,6.8,Red Sandy Loam / Black Soil,0.58,35
Karnataka,BENGALURU URBAN,194,23,226,6.8,Red Sandy Loam / Black Soil,0.61,34
Karnataka,BIDAR,181,22,211,6.9,Red Sandy Loam / Black Soil,0.57,34
Karnataka,BIJAPUR,174,21,202,6.8,Red Sandy Loam / Black Soil,0.55,34
Karnataka,CHAMARAJANAGAR,194,23,226,6.8,Red Sandy Loam / Black Soil,0.61,35
Karnataka,CHAMARAJANAGARA,196,23,228,6.6,Red Sandy Loam / Black Soil,0.61,33
Karnataka,CHIKBALLAPUR,194,23,226,6.8,Red Sandy Loam / Black Soil,0.61,33
Karnataka,CHIKKABALLAPURA,183,22,213,6.6,Red Sandy Loam / Black Soil,0.57,35
Karnataka,CHIKKAMAGALURU,178,21,206,6.8,Red Sandy Loam / Black Soil,0.56,35
Karnataka,CHIKMAGALUR,176,21,204,7.0,Red Sandy Loam / Black Soil,0.55,35
Karnataka,CHITRADURGA,192,23,224,6.6,Red Sandy Loam / Black Soil,0.6,35
