id,kvk_name,state,district,host_institution,latitude,longitude,phone,pincode
kvk_041,"Krishi Vigyan Kendra, LOWER SUBANSIRI",Arunachal Pradesh,LOWER SUBANSIRI,,,,+91-061-30105,610039
kvk_042,"Krishi Vigyan Kendra, NAMSAI",Arunachal Pradesh,NAMSAI,,,,+91-044-41997,441829
kvk_043,"Krishi Vigyan Kendra, PAKKE KESSANG",Arunachal Pradesh,PAKKE KESSANG,,,,+91-020-72374,202287
kvk_044,"Krishi Vigyan Kendra, PAPUM PARE",Arunachal Pradesh,PAPUM PARE,,,,+91-020-73119,202980
kvk_045,"Krishi Vigyan Kendra, SHI YOMI",Arunachal Pradesh,SHI YOMI,,,,+91-084-83773,843627
kvk_046,"Krishi Vigyan Kendra, SIANG",Arunachal Pradesh,SIANG,,,,+91-062-11419,621370
kvk_047,"Krishi Vigyan Kendra, TAWANG",Arunachal Pradesh,TAWANG,,,,+91-029-10081,290027
kvk_048,"Krishi Vigyan Kendra, TIRAP",Arunachal Pradesh,TIRAP,,,,+91-019-65271,195210
kvk_049,"Krishi Vigyan Kendra, UPPER SIANG",Arunachal Pradesh,UPPER SIANG,,,,+91-078-57883,787798
kvk_050,"Krishi Vigyan Kendra, UPPER SUBANSIRI",Arunachal Pradesh,UPPER SUBANSIRI,,,,+91-038-76345,386178
kvk_051,"Krishi Vigyan Kendra, WEST KAMENG",Arunachal Pradesh,WEST KAMENG,,,,+91-069-58897,698891
kvk_052,"Krishi Vigyan Kendra, WEST SIANG",Arunachal Pradesh,WEST SIANG,,,,+91-029-45638,295463
kvk_053,"Krishi Vigyan Kendra, BAKSA",Assam,BAKSA,,,,+91-037-68591,378580
kvk_054,"Krishi Vigyan Kendra, BARPETA",Assam,BARPETA,,,,+91-078-85950,785822
kvk_055,"Krishi Vigyan Kendra, BISWANATH",Assam,BISWANATH,,,,+91-076-31682,761519
kvk_056,"Krishi Vigyan Kendra, BONGAIGAON",Assam,BONGAIGAON,,,,+91-043-97741,437617
kvk_057,"Krishi Vigyan Kendra, CACHAR",Assam,CACHAR,,,,+91-014-40199,140043
kvk_058,"Krishi Vigyan Kendra, CHARAIDEO",Assam,CHARAIDEO,,,,+91-044-76825,446770
kvk_059,"Krishi Vigyan Kendra, CHIRANG",Assam,CHIRANG,,,,+91-022-65435,225391
kvk_060,"Krishi Vigyan Kendra, DARRANG",Assam,DARRANG,,,,+91-030-23303,303249
kvk_061,"Krishi Vigyan Kendra, DHEMAJI",Assam,DHEMAJI,,,,+91-088-60909,880875
kvk_062,"Krishi Vigyan Kendra, DHUBRI",Assam,DHUBRI,,,,+91-027-58214,278074
kvk_063,"Krishi Vigyan Kendra, DIBRUGARH",Assam,DIBRUGARH,,,,+91-073-99299,739241
kvk_064,"Krishi Vigyan Kendra, DIMA HASAO",Assam,DIMA HASAO,,,,+91-081-81138,810975
kvk_065,"Krishi Vigyan Kendra, GOALPARA",Assam,GOALPARA,,,,+91-042-52843,422736
kvk_066,"Krishi Vigyan Kendra, GOLAGHAT",Assam,GOLAGHAT,,,,+91-011-11315,111185
kvk_067,"Krishi Vigyan Kendra, HAILAKANDI",Assam,HAILAKANDI,,,,+91-018-20265,180195
kvk_068,"Krishi Vigyan Kendra, HOJAI",Assam,HOJAI,,,,+91-065-41764,651715
kvk_069,"Krishi Vigyan Kendra, JORHAT",Assam,JORHAT,,,,+91-073-38156,738028
kvk_070,"Krishi Vigyan Kendra, KAMRUP",Assam,KAMRUP,,,,+91-056-19222,569139
kvk_071,"Krishi Vigyan Kendra, KAMRUP METRO",Assam,KAMRUP METRO,,,,+91-040-32604,402445
kvk_072,"Krishi Vigyan Kendra, KARBI ANGLONG",Assam,KARBI ANGLONG,,,,+91-044-49767,449625
kvk_073,"Krishi Vigyan Kendra, KARIMGANJ",Assam,KARIMGANJ,,,,+91-087-29086,878991
kvk_074,"Krishi Vigyan Kendra, KOKRAJHAR",Assam,KOKRAJHAR,,,,+91-018-85288,185184
kvk_075,"Krishi Vigyan Kendra, LAKHIMPUR",Assam,LAKHIMPUR,,,,+91-014-17350,147185
kvk_076,"Krishi Vigyan Kendra, MAJULI",Assam,MAJULI,,,,+91-015-51950,151768
kvk_077,"Krishi Vigyan Kendra, MARIGAON",Assam,MARIGAON,,,,+91-085-64775,854646
kvk_078,"Krishi Vigyan Kendra, NAGAON",Assam,NAGAON,,,,+91-029-47200,297155
kvk_079,"Krishi Vigyan Kendra, NALBARI",Assam,NALBARI,,,,+91-063-83860,633829
kvk_080,"Krishi Vigyan Kendra, SIVASAGAR",Assam,SIVASAGAR,,,,+91-016-63676,163572
kvk_081,"Krishi Vigyan Kendra, SONITPUR",Assam,SONITPUR,,,,+91-050-73826,503753
kvk_082,"Krishi Vigyan Kendra, SOUTH SALMARA MANCACHAR",Assam,SOUTH SALMARA MANCACHAR,,,,+91-021-88951,218942
kvk_083,"Krishi Vigyan Kendra, TINSUKIA",Assam,TINSUKIA,,,,+91-022-63729,223607
kvk_084,"Krishi Vigyan Kendra, UDALGURI",Assam,UDALGURI,,,,+91-019-91443,191443
kvk_085,"Krishi Vigyan Kendra, WEST KARBI ANGLONG",Assam,WEST KARBI ANGLONG,,,,+91-068-71564,681463
kvk_086,"Krishi Vigyan Kendra, ARARIA",Bihar,ARARIA,,,,+91-044-76578,446445
kvk_087,"Krishi Vigyan Kendra, ARWAL",Bihar,ARWAL,,,,+91-019-36713,196695
kvk_088,"Krishi Vigyan Kendra, AURANGABAD",Bihar,AURANGABAD,,,,+91-084-52439,842284
kvk_089,"Krishi Vigyan Kendra, BANKA",Bihar,BANKA,,,,+91-031-30387,310229
kvk_090,"Krishi Vigyan Kendra, BEGUSARAI",Bihar,BEGUSARAI,,,,+91-063-83947,633786
kvk_091,"Krishi Vigyan Kendra, BHAGALPUR",Bihar,BHAGALPUR,,,,+91-028-37562,287439
kvk_092,"Krishi Vigyan Kendra, BHOJPUR",Bihar,BHOJPUR,,,,+91-087-25794,875699
kvk_093,"Krishi Vigyan Kendra, BOKARO",Bihar,BOKARO,,,,+91-031-66040,315917
kvk_094,"Krishi Vigyan Kendra, BUXAR",Bihar,BUXAR,,,,+91-031-39172,319144
kvk_095,"Krishi Vigyan Kendra, CHATRA",Bihar,CHATRA,,,,+91-052-31616,521447
kvk_096,"Krishi Vigyan Kendra, DARBHANGA",Bihar,DARBHANGA,,,,+91-056-40294,560220
kvk_097,"Krishi Vigyan Kendra, DEOGHAR",Bihar,DEOGHAR,,,,+91-051-25192,515023
kvk_098,"Krishi Vigyan Kendra, DHANBAD",Bihar,DHANBAD,,,,+91-061-95306,615180
kvk_099,"Krishi Vigyan Kendra, DUMKA",Bihar,DUMKA,,,,+91-086-15637,865542
kvk_100,"Krishi Vigyan Kendra, EAST SINGHBUM",Bihar,EAST SINGHBUM,,,,+91-020-45767,205697
kvk_101,"Krishi Vigyan Kendra, GARHWA",Bihar,GARHWA,,,,+91-078-56431,786372
kvk_102,"Krishi Vigyan Kendra, GAYA",Bihar,GAYA,,,,+91-061-67423,617392
kvk_103,"Krishi Vigyan Kendra, GIRIDIH",Bihar,GIRIDIH,,,,+91-083-15894,835782
kvk_104,"Krishi Vigyan Kendra, GODDA",Bihar,GODDA,,,,+91-029-70922,290808
kvk_105,"Krishi Vigyan Kendra, GOPALGANJ",Bihar,GOPALGANJ,,,,+91-066-52432,662383
kvk_106,"Krishi Vigyan Kendra, GUMLA",Bihar,GUMLA,,,,+91-075-85040,755025
kvk_107,"Krishi Vigyan Kendra, HAZARIBAGH",Bihar,HAZARIBAGH,,,,+91-044-80039,449880
kvk_108,"Krishi Vigyan Kendra, JAMUI",Bihar,JAMUI,,,,+91-083-71738,831566
kvk_109,"Krishi Vigyan Kendra, JEHANABAD",Bihar,JEHANABAD,,,,+91-088-93731,883680
kvk_110,"Krishi Vigyan Kendra, KAIMUR (BHABUA)",Bihar,KAIMUR (BHABUA),,,,+91-023-14887,234851
kvk_111,"Krishi Vigyan Kendra, KATIHAR",Bihar,KATIHAR,,,,+91-085-69510,859485
kvk_112,"Krishi Vigyan Kendra, KHAGARIA",Bihar,KHAGARIA,,,,+91-059-10467,590401
kvk_113,"Krishi Vigyan Kendra, KISHANGANJ",Bihar,KISHANGANJ,,,,+91-039-54900,394854
kvk_114,"Krishi Vigyan Kendra, KODERMA",Bihar,KODERMA,,,,+91-032-12067,321978
kvk_115,"Krishi Vigyan Kendra, LAKHISARAI",Bihar,LAKHISARAI,,,,+91-047-18736,478654
kvk_116,"Krishi Vigyan Kendra, LOHARDAGA",Bihar,LOHARDAGA,,,,+91-012-21581,121503
kvk_117,"Krishi Vigyan Kendra, MADHEPURA",Bihar,MADHEPURA,,,,+91-062-17954,627775
kvk_118,"Krishi Vigyan Kendra, MADHUBANI",Bihar,MADHUBANI,,,,+91-037-69775,379660
kvk_119,"Krishi Vigyan Kendra, MUNGER",Bihar,MUNGER,,,,+91-049-34785,494599
kvk_120,"Krishi Vigyan Kendra, MUZAFFARPUR",Bihar,MUZAFFARPUR,,,,+91-030-84190,304128
kvk_121,"Krishi Vigyan Kendra, NALANDA",Bihar,NALANDA,,,,+91-053-77380,537350
kvk_122,"Krishi Vigyan Kendra, NAWADA",Bihar,NAWADA,,,,+91-074-19961,749850
kvk_123,"Krishi Vigyan Kendra, PAKUR",Bihar,PAKUR,,,,+91-025-60660,250633
kvk_124,"Krishi Vigyan Kendra, PALAMU",Bihar,PALAMU,,,,+91-048-83446,483278
kvk_125,"Krishi Vigyan Kendra, PASHCHIM CHAMPARAN",Bihar,PASHCHIM CHAMPARAN,,,,+91-083-19284,839224
kvk_126,"Krishi Vigyan Kendra, PATNA",Bihar,PATNA,,,,+91-011-77455,117447
kvk_127,"Krishi Vigyan Kendra, PURBI CHAMPARAN",Bihar,PURBI CHAMPARAN,,,,+91-077-11635,771463
kvk_128,"Krishi Vigyan Kendra, PURNIA",Bihar,PURNIA,,,,+91-029-79705,299591
kvk_129,"Krishi Vigyan Kendra, RANCHI",Bihar,RANCHI,,,,+91-025-66128,255997
kvk_130,"Krishi Vigyan Kendra, ROHTAS",Bihar,ROHTAS,,,,+91-065-45184,655109
kvk_131,"Krishi Vigyan Kendra, SAHARSA",Bihar,SAHARSA,,,,+91-077-16619,776473
kvk_132,"Krishi Vigyan Kendra, SAHEBGANJ",Bihar,SAHEBGANJ,,,,+91-039-86221,396184
kvk_133,"Krishi Vigyan Kendra, SAMASTIPUR",Bihar,SAMASTIPUR,,,,+91-074-44151,744127
kvk_134,"Krishi Vigyan Kendra, SARAN",Bihar,SARAN,,,,+91-058-90871,580806
kvk_135,"Krishi Vigyan Kendra, SHEIKHPURA",Bihar,SHEIKHPURA,,,,+91-017-45002,174863
kvk_136,"Krishi Vigyan Kendra, SHEOHAR",Bihar,SHEOHAR,,,,+91-048-25402,485216
kvk_137,"Krishi Vigyan Kendra, SITAMARHI",Bihar,SITAMARHI,,,,+91-011-46644,116523
kvk_138,"Krishi Vigyan Kendra, SIWAN",Bihar,SIWAN,,,,+91-051-58295,518213
kvk_139,"Krishi Vigyan Kendra, SUPAUL",Bihar,SUPAUL,,,,+91-088-93512,883435
kvk_140,"Krishi Vigyan Kendra, VAISHALI",Bihar,VAISHALI,,,,+91-065-16585,656501
kvk_141,"Krishi Vigyan Kendra, WEST SINGHBHUM",Bihar,WEST SINGHBHUM,,,,+91-025-32671,252531
kvk_142,"Krishi Vigyan Kendra, CHANDIGARH",Chandigarh,CHANDIGARH,,,,+91-068-16176,686057
kvk_143,"Krishi Vigyan Kendra, BALOD",Chhattisgarh,BALOD,,,,+91-065-44197,654018
kvk_144,"Krishi Vigyan Kendra, BALODA BAZAR",Chhattisgarh,BALODA BAZAR,,,,+91-018-89052,188974
kvk_145,"Krishi Vigyan Kendra, BALRAMPUR",Chhattisgarh,BALRAMPUR,,,,+91-028-31069,280894
kvk_146,"Krishi Vigyan Kendra, BASTAR",Chhattisgarh,BASTAR,,,,+91-072-87846,727684
kvk_147,"Krishi Vigyan Kendra, BEMETARA",Chhattisgarh,BEMETARA,,,,+91-079-69163,799052
kvk_148,"Krishi Vigyan Kendra, BIJAPUR",Chhattisgarh,BIJAPUR,,,,+91-058-32731,582674
kvk_149,"Krishi Vigyan Kendra, BILASPUR",Chhattisgarh,BILASPUR,,,,+91-075-83771,753600
kvk_150,"Krishi Vigyan Kendra, DANTEWADA",Chhattisgarh,DANTEWADA,,,,+91-074-41903,741749
kvk_151,"Krishi Vigyan Kendra, DHAMTARI",Chhattisgarh,DHAMTARI,,,,+91-068-71910,681835
kvk_152,"Krishi Vigyan Kendra, DURG",Chhattisgarh,DURG,,,,+91-076-30697,760586
kvk_153,"Krishi Vigyan Kendra, GARIYABAND",Chhattisgarh,GARIYABAND,,,,+91-028-30597,280474
kvk_154,"Krishi Vigyan Kendra, GAURELLA-PENDRA-MARWAHI",Chhattisgarh,GAURELLA-PENDRA-MARWAHI,,,,+91-046-90574,460415
kvk_155,"Krishi Vigyan Kendra, JANJGIR-CHAMPA",Chhattisgarh,JANJGIR-CHAMPA,,,,+91-011-42387,112318
kvk_156,"Krishi Vigyan Kendra, JASHPUR",Chhattisgarh,JASHPUR,,,,+91-022-39547,229442
kvk_157,"Krishi Vigyan Kendra, KABIRDHAM",Chhattisgarh,KABIRDHAM,,,,+91-073-37513,737489
kvk_158,"Krishi Vigyan Kendra, KANKER",Chhattisgarh,KANKER,,,,+91-056-46441,566315
kvk_159,"Krishi Vigyan Kendra, KONDAGAON",Chhattisgarh,KONDAGAON,,,,+91-042-58244,428215
kvk_160,"Krishi Vigyan Kendra, KORBA",Chhattisgarh,KORBA,,,,+91-040-36278,406171
kvk_161,"Krishi Vigyan Kendra, KOREA",Chhattisgarh,KOREA,,,,+91-052-34263,524198
kvk_162,"Krishi Vigyan Kendra, MAHASAMUND",Chhattisgarh,MAHASAMUND,,,,+91-029-50136,299987
kvk_163,"Krishi Vigyan Kendra, MUNGELI",Chhattisgarh,MUNGELI,,,,+91-051-20410,510293
kvk_164,"Krishi Vigyan Kendra, NARAYANPUR",Chhattisgarh,NARAYANPUR,,,,+91-024-83838,243742
kvk_165,"Krishi Vigyan Kendra, RAIGARH",Chhattisgarh,RAIGARH,,,,+91-064-92266,642235
kvk_166,"Krishi Vigyan Kendra, RAIPUR",Chhattisgarh,RAIPUR,,,,+91-022-96777,226716
kvk_167,"Krishi Vigyan Kendra, RAJNANDGAON",Chhattisgarh,RAJNANDGAON,,,,+91-072-26289,726135
kvk_168,"Krishi Vigyan Kendra, SUKMA",Chhattisgarh,SUKMA,,,,+91-014-10363,140250
kvk_169,"Krishi Vigyan Kendra, SURAJPUR",Chhattisgarh,SURAJPUR,,,,+91-025-97813,257769
kvk_170,"Krishi Vigyan Kendra, SURGUJA",Chhattisgarh,SURGUJA,,,,+91-044-78179,448098
kvk_171,"Krishi Vigyan Kendra, DADRA AND NAGAR HAVELI",Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,,,,+91-060-21268,601202
kvk_172,"Krishi Vigyan Kendra, DAMAN",Daman and Diu,DAMAN,,,,+91-034-63153,343151
kvk_173,"Krishi Vigyan Kendra, DIU",Daman and Diu,DIU,,,,+91-014-49522,149392
kvk_174,"Krishi Vigyan Kendra, Daman and Diu",Daman and Diu,Daman and Diu,,,,+91-045-58936,458820
kvk_175,"Krishi Vigyan Kendra, DELHI_TOTAL",Delhi,DELHI_TOTAL,,,,+91-088-36422,886249
kvk_176,"Krishi Vigyan Kendra, Delhi",Delhi,Delhi,,,,+91-060-88520,608342
kvk_177,"Krishi Vigyan Kendra, Goa",Goa,Goa,,,,+91-016-34915,164828
kvk_178,"Krishi Vigyan Kendra, NORTH GOA",Goa,NORTH GOA,,,,+91-020-18670,208617
kvk_179,"Krishi Vigyan Kendra, SOUTH GOA",Goa,SOUTH GOA,,,,+91-015-53419,153237
kvk_180,"Krishi Vigyan Kendra, AHMADABAD",Gujarat,AHMADABAD,,,,+91-060-89258,609080
kvk_181,"Krishi Vigyan Kendra, AMRELI",Gujarat,AMRELI,,,,+91-040-38293,408186
kvk_182,"Krishi Vigyan Kendra, ANAND",Gujarat,ANAND,,,,+91-045-21569,451548
kvk_183,"Krishi Vigyan Kendra, ARAVALLI",Gujarat,ARAVALLI,,,,+91-084-83766,843698
kvk_184,"Krishi Vigyan Kendra, BANAS KANTHA",Gujarat,BANAS KANTHA,,,,+91-015-59118,158962
kvk_185,"Krishi Vigyan Kendra, BHARUCH",Gujarat,BHARUCH,,,,+91-051-24036,514023
kvk_186,"Krishi Vigyan Kendra, BHAVNAGAR",Gujarat,BHAVNAGAR,,,,+91-025-37912,257824
kvk_187,"Krishi Vigyan Kendra, BOTAD",Gujarat,BOTAD,,,,+91-078-22812,782744
kvk_188,"Krishi Vigyan Kendra, CHHOTAUDEPUR",Gujarat,CHHOTAUDEPUR,,,,+91-085-33066,852954
kvk_189,"Krishi Vigyan Kendra, DANG",Gujarat,DANG,,,,+91-029-15610,295530
kvk_190,"Krishi Vigyan Kendra, DEVBHUMI DWARKA",Gujarat,DEVBHUMI DWARKA,,,,+91-016-32757,162644
kvk_191,"Krishi Vigyan Kendra, DOHAD",Gujarat,DOHAD,,,,+91-027-24212,274063
kvk_192,"Krishi Vigyan Kendra, GANDHINAGAR",Gujarat,GANDHINAGAR,,,,+91-035-70463,350331
kvk_193,"Krishi Vigyan Kendra, GIR SOMNATH",Gujarat,GIR SOMNATH,,,,+91-048-25393,485337
kvk_194,"Krishi Vigyan Kendra, JAMNAGAR",Gujarat,JAMNAGAR,,,,+91-052-96772,526751
kvk_195,"Krishi Vigyan Kendra, JUNAGADH",Gujarat,JUNAGADH,,,,+91-038-45318,385246
kvk_196,"Krishi Vigyan Kendra, KACHCHH",Gujarat,KACHCHH,,,,+91-070-61723,701587
kvk_197,"Krishi Vigyan Kendra, KHEDA",Gujarat,KHEDA,,,,+91-074-44064,743988
kvk_198,"Krishi Vigyan Kendra, MAHESANA",Gujarat,MAHESANA,,,,+91-065-11957,651899
kvk_199,"Krishi Vigyan Kendra, MAHISAGAR",Gujarat,MAHISAGAR,,,,+91-033-26824,336709
kvk_200,"Krishi Vigyan Kendra, MORBI",Gujarat,MORBI,,,,+91-031-90080,310044
kvk_201,"Krishi Vigyan Kendra, NARMADA",Gujarat,NARMADA,,,,+91-052-39873,529782
kvk_202,"Krishi Vigyan Kendra, NAVSARI",Gujarat,NAVSARI,,,,+91-024-85057,244909
kvk_203,"Krishi Vigyan Kendra, PANCH MAHALS",Gujarat,PANCH MAHALS,,,,+91-083-70665,830649
kvk_204,"Krishi Vigyan Kendra, PATAN",Gujarat,PATAN,,,,+91-083-75310,835164
kvk_205,"Krishi Vigyan Kendra, PORBANDAR",Gujarat,PORBANDAR,,,,+91-062-46481,626467
kvk_206,"Krishi Vigyan Kendra, RAJKOT",Gujarat,RAJKOT,,,,+91-056-17498,567467
kvk_207,"Krishi Vigyan Kendra, SABAR KANTHA",Gujarat,SABAR KANTHA,,,,+91-070-68017,708011
kvk_208,"Krishi Vigyan Kendra, SURAT",Gujarat,SURAT,,,,+91-045-53062,452920
kvk_209,"Krishi Vigyan Kendra, SURENDRANAGAR",Gujarat,SURENDRANAGAR,,,,+91-052-62206,522176
kvk_210,"Krishi Vigyan Kendra, TAPI",Gujarat,TAPI,,,,+91-057-59883,579705
kvk_211,"Krishi Vigyan Kendra, VADODARA",Gujarat,VADODARA,,,,+91-077-44224,774113
kvk_212,"Krishi Vigyan Kendra, VALSAD",Gujarat,VALSAD,,,,+91-063-80673,630642
kvk_213,"Krishi Vigyan Kendra, AMBALA",Haryana,AMBALA,,,,+91-072-59746,729705
kvk_214,"Krishi Vigyan Kendra, BHIWANI",Haryana,BHIWANI,,,,+91-047-19841,479837
kvk_215,"Krishi Vigyan Kendra, CHARKI DADRI",Haryana,CHARKI DADRI,,,,+91-013-60149,130132
kvk_216,"Krishi Vigyan Kendra, FARIDABAD",Haryana,FARIDABAD,,,,+91-012-54031,123988
kvk_217,"Krishi Vigyan Kendra, FATEHABAD",Haryana,FATEHABAD,,,,+91-088-65747,885635
kvk_218,"Krishi Vigyan Kendra, GURGAON",Haryana,GURGAON,,,,+91-015-88766,158593
kvk_219,"Krishi Vigyan Kendra, HISAR",Haryana,HISAR,,,,+91-076-94452,764307
kvk_220,"Krishi Vigyan Kendra, JHAJJAR",Haryana,JHAJJAR,,,,+91-072-56496,726377
kvk_221,"Krishi Vigyan Kendra, JIND",Haryana,JIND,,,,+91-088-69058,888894
kvk_222,"Krishi Vigyan Kendra, KAITHAL",Haryana,KAITHAL,,,,+91-065-45800,655699
kvk_223,"Krishi Vigyan Kendra, KARNAL",Haryana,KARNAL,,,,+91-087-27478,877461
kvk_224,"Krishi Vigyan Kendra, KURUKSHETRA",Haryana,KURUKSHETRA,,,,+91-036-87397,367239
kvk_225,"Krishi Vigyan Kendra, MAHENDRAGARH",Haryana,MAHENDRAGARH,,,,+91-077-45610,775473
kvk_226,"Krishi Vigyan Kendra, MEWAT",Haryana,MEWAT,,,,+91-064-30134,640007
kvk_227,"Krishi Vigyan Kendra, PALWAL",Haryana,PALWAL,,,,+91-015-29634,159625
kvk_228,"Krishi Vigyan Kendra, PANCHKULA",Haryana,PANCHKULA,,,,+91-025-32929,252867
kvk_229,"Krishi Vigyan Kendra, PANIPAT",Haryana,PANIPAT,,,,+91-030-21469,301337
kvk_230,"Krishi Vigyan Kendra, REWARI",Haryana,REWARI,,,,+91-059-72441,592419
kvk_231,"Krishi Vigyan Kendra, ROHTAK",Haryana,ROHTAK,,,,+91-041-44678,414545
kvk_232,"Krishi Vigyan Kendra, SIRSA",Haryana,SIRSA,,,,+91-029-46773,296650
kvk_233,"Krishi Vigyan Kendra, SONIPAT",Haryana,SONIPAT,,,,+91-022-64437,224341
kvk_234,"Krishi Vigyan Kendra, YAMUNANAGAR",Haryana,YAMUNANAGAR,,,,+91-057-21207,571072
kvk_235,"Krishi Vigyan Kendra, BILASPUR",Himachal Pradesh,BILASPUR,,,,+91-072-54521,724350
kvk_236,"Krishi Vigyan Kendra, CHAMBA",Himachal Pradesh,CHAMBA,,,,+91-015-25949,155784
kvk_237,"Krishi Vigyan Kendra, HAMIRPUR",Himachal Pradesh,HAMIRPUR,,,,+91-014-73860,143843
kvk_238,"Krishi Vigyan Kendra, KANGRA",Himachal Pradesh,KANGRA,,,,+91-083-16574,836488
kvk_239,"Krishi Vigyan Kendra, KINNAUR",Himachal Pradesh,KINNAUR,,,,+91-047-44060,473909
kvk_240,"Krishi Vigyan Kendra, KULLU",Himachal Pradesh,KULLU,,,,+91-086-72126,861945
