Commodity,Market,State,Date,Modal_Price,Min_Price,Max_Price,Arrival_Tons,Unit
Rice,Azadpur Mandi,Delhi,2026-07-11,3968,3690,4285,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-12,3979,3700,4297,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-13,3931,3656,4245,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-14,3943,3667,4258,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-15,3915,3641,4228,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-16,3926,3651,4240,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-17,3917,3643,4230,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-18,3909,3635,4222,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-19,3920,3646,4234,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-20,3873,3602,4183,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-21,4002,3722,4322,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-22,3974,3696,4292,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-23,3985,3706,4304,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-24,3977,3699,4295,237,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-25,3968,3690,4285,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-26,3980,3701,4298,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-27,3932,3657,4247,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-28,3943,3667,4258,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-29,3915,3641,4228,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-30,3926,3651,4240,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-07-31,3918,3644,4231,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-01,3910,3636,4223,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-02,3921,3647,4235,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-03,3873,3602,4183,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-04,4003,3723,4323,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-05,3974,3696,4292,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-06,3986,3707,4305,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-07,3977,3699,4295,237,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-08,3969,3691,4287,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-09,3980,3701,4298,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-10,3932,3657,4247,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-11,3944,3668,4260,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-12,3916,3642,4229,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-13,3927,3652,4241,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-14,3919,3645,4233,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-15,3910,3636,4223,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-16,3921,3647,4235,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-17,3874,3603,4184,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-18,4003,3723,4323,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-19,3975,3697,4293,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-20,3986,3707,4305,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-21,3978,3700,4296,237,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-22,3970,3692,4288,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-23,3981,3702,4299,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-24,3933,3658,4248,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-25,3944,3668,4260,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-26,3916,3642,4229,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-27,3927,3652,4241,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-28,3919,3645,4233,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-29,3911,3637,4224,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-30,3922,3647,4236,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-08-31,3874,3603,4184,309,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-01,4004,3724,4324,234,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-02,3975,3697,4293,294,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-03,3987,3708,4306,236,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-04,3979,3700,4297,237,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-05,3970,3692,4288,238,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-06,3982,3703,4301,84,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-07,3934,3659,4249,300,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-08,3945,3669,4261,241,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-09,3917,3643,4230,303,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-10,3928,3653,4242,243,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-11,3920,3646,4234,244,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-12,3911,3637,4224,245,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-13,3922,3647,4236,86,Quintal
Rice,Azadpur Mandi,Delhi,2026-09-14,3950,3674,4266,309,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-16,2475,2351,2599,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-17,2457,2334,2580,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-18,2464,2341,2587,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-19,2459,2336,2582,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-20,2454,2331,2577,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-21,2460,2337,2583,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-22,2431,2309,2553,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-23,2512,2386,2638,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-24,2494,2369,2619,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-25,2501,2376,2626,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-26,2496,2371,2621,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-27,2491,2366,2616,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-28,2498,2373,2623,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-29,2468,2345,2591,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-06-30,2475,2351,2599,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-01,2457,2334,2580,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-02,2464,2341,2587,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-03,2459,2336,2582,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-04,2454,2331,2577,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-05,2461,2338,2584,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-06,2431,2309,2553,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-07,2512,2386,2638,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-08,2494,2369,2619,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-09,2502,2377,2627,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-10,2496,2371,2621,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-11,2491,2366,2616,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-12,2498,2373,2623,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-13,2468,2345,2591,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-14,2475,2351,2599,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-15,2458,2335,2581,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-16,2465,2342,2588,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-17,2459,2336,2582,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-18,2454,2331,2577,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-19,2461,2338,2584,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-20,2431,2309,2553,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-21,2513,2387,2639,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-22,2495,2370,2620,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-23,2502,2377,2627,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-24,2497,2372,2622,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-25,2491,2366,2616,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-26,2499,2374,2624,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-27,2468,2345,2591,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-28,2476,2352,2600,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-29,2458,2335,2581,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-30,2465,2342,2588,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-07-31,2460,2337,2583,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-01,2454,2331,2577,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-02,2461,2338,2584,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-03,2432,2310,2554,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-04,2513,2387,2639,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-05,2495,2370,2620,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-06,2502,2377,2627,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-07,2497,2372,2622,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-08,2492,2367,2617,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-09,2499,2374,2624,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-10,2469,2346,2592,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-11,2476,2352,2600,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-12,2458,2335,2581,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-13,2465,2342,2588,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-14,2460,2337,2583,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-15,2455,2332,2578,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-16,2462,2339,2585,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-17,2432,2310,2554,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-18,2513,2387,2639,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-19,2495,2370,2620,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-20,2503,2378,2628,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-21,2497,2372,2622,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-22,2492,2367,2617,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-23,2499,2374,2624,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-24,2469,2346,2592,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-25,2476,2352,2600,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-26,2458,2335,2581,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-27,2465,2342,2588,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-28,2460,2337,2583,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-29,2455,2332,2578,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-30,2462,2339,2585,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-08-31,2432,2310,2554,238,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-01,2513,2387,2639,180,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-02,2496,2371,2621,226,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-03,2503,2378,2628,182,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-04,2498,2373,2623,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-05,2492,2367,2617,183,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-06,2499,2374,2624,64,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-07,2469,2346,2592,231,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-08,2476,2352,2600,186,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-09,2459,2336,2582,233,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-10,2466,2343,2589,187,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-11,2460,2337,2583,188,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-12,2455,2332,2578,189,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-13,2462,2339,2585,66,Quintal
Wheat,Khanna Mandi,Punjab,2026-09-14,2480,2356,2604,238,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-16,2145,1973,2295,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-17,2130,1960,2279,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-18,2136,1965,2286,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-19,2132,1961,2281,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-20,2127,1957,2276,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-21,2133,1962,2282,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-22,2107,1938,2254,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-23,2178,2004,2330,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-24,2162,1989,2313,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-25,2169,1995,2321,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-26,2164,1991,2315,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-27,2159,1986,2310,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-28,2166,1993,2318,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-29,2139,1968,2289,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-06-30,2146,1974,2296,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-01,2130,1960,2279,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-02,2136,1965,2286,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-03,2132,1961,2281,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-04,2127,1957,2276,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-05,2133,1962,2282,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-06,2107,1938,2254,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-07,2178,2004,2330,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-08,2162,1989,2313,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-09,2169,1995,2321,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-10,2164,1991,2315,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-11,2160,1987,2311,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-12,2166,1993,2318,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-13,2140,1969,2290,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-14,2146,1974,2296,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-15,2131,1961,2280,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-16,2137,1966,2287,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-17,2132,1961,2281,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-18,2127,1957,2276,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-19,2133,1962,2282,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-20,2108,1939,2256,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-21,2178,2004,2330,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-22,2163,1990,2314,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-23,2169,1995,2321,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-24,2164,1991,2315,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-25,2160,1987,2311,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-26,2166,1993,2318,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-27,2140,1969,2290,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-28,2146,1974,2296,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-29,2131,1961,2280,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-30,2137,1966,2287,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-07-31,2132,1961,2281,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-01,2128,1958,2277,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-02,2134,1963,2283,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-03,2108,1939,2256,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-04,2178,2004,2330,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-05,2163,1990,2314,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-06,2169,1995,2321,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-07,2165,1992,2317,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-08,2160,1987,2311,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-09,2166,1993,2318,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-10,2140,1969,2290,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-11,2146,1974,2296,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-12,2131,1961,2280,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-13,2137,1966,2287,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-14,2132,1961,2281,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-15,2128,1958,2277,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-16,2134,1963,2283,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-17,2108,1939,2256,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-18,2179,2005,2332,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-19,2163,1990,2314,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-20,2169,1995,2321,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-21,2165,1992,2317,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-22,2160,1987,2311,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-23,2166,1993,2318,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-24,2140,1969,2290,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-25,2146,1974,2296,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-26,2131,1961,2280,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-27,2137,1966,2287,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-28,2133,1962,2282,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-29,2128,1958,2277,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-30,2134,1963,2283,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-08-31,2108,1939,2256,122,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-01,2179,2005,2332,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-02,2163,1990,2314,116,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-03,2170,1996,2322,93,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-04,2165,1992,2317,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-05,2160,1987,2311,94,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-06,2167,1994,2319,33,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-07,2140,1969,2290,119,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-08,2147,1975,2297,95,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-09,2131,1961,2280,120,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-10,2137,1966,2287,96,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-11,2133,1962,2282,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-12,2128,1958,2277,97,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-13,2134,1963,2283,34,Quintal
Maize,Davangere Mandi,Karnataka,2026-09-14,2150,1978,2300,122,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-16,7234,6800,7668,141,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-17,7183,6752,7614,177,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-18,7204,6772,7636,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-19,7188,6757,7619,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-20,7173,6743,7603,143,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-21,7193,6761,7625,50,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-22,7106,6680,7532,180,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-23,7344,6903,7785,136,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-24,7292,6854,7730,171,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-25,7313,6874,7752,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-26,7297,6859,7735,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-27,7282,6845,7719,139,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-28,7303,6865,7741,49,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-29,7215,6782,7648,175,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-06-30,7235,6801,7669,141,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-01,7184,6753,7615,177,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-02,7204,6772,7636,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-03,7189,6758,7620,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-04,7173,6743,7603,143,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-05,7194,6762,7626,50,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-06,7107,6681,7533,180,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-07,7344,6903,7785,136,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-08,7292,6854,7730,171,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-09,7314,6875,7753,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-10,7298,6860,7736,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-11,7283,6846,7720,139,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-12,7303,6865,7741,49,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-13,7215,6782,7648,175,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-14,7236,6802,7670,141,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-15,7185,6754,7616,177,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-16,7205,6773,7637,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-17,7190,6759,7621,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-18,7174,6744,7604,143,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-19,7195,6763,7627,50,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-20,7108,6682,7534,180,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-21,7345,6904,7786,136,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-22,7293,6855,7731,171,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-23,7314,6875,7753,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-24,7299,6861,7737,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-25,7283,6846,7720,139,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-26,7304,6866,7742,49,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-27,7216,6783,7649,175,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-28,7237,6803,7671,141,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-29,7185,6754,7616,177,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-30,7206,6774,7638,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-07-31,7191,6760,7622,142,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-01,7175,6744,7606,143,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-02,7195,6763,7627,50,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-03,7108,6682,7534,180,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-04,7346,6905,7787,136,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-05,7294,6856,7732,171,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-06,7315,6876,7754,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-07,7300,6862,7738,138,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-08,7284,6847,7721,139,Quintal
Cotton,Rajkot Mandi,Gujarat,2026-08-09,7305,6867,7743,49,Quintal
